Delivery_person_Age,Weather_conditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
36.0,Fog,Jam,Snack,motorcycle,3.0,No,Metropolitian,46
21.0,Stormy,High,Meal,motorcycle,1.0,No,Metropolitian,23
23.0,Sandstorms,Medium,Drinks,scooter,1.0,No,Metropolitian,21
34.0,Sandstorms,Low,Buffet,motorcycle,0.0,No,Metropolitian,20
24.0,Fog,Jam,Snack,scooter,1.0,No,Metropolitian,41
29.0,Sandstorms,Jam,Buffet,electric_scooter,1.0,No,Metropolitian,20
35.0,Windy,High,Meal,scooter,1.0,No,Metropolitian,33
33.0,Sandstorms,Jam,Snack,motorcycle,1.0,No,Metropolitian,40
34.0,Cloudy,Jam,Snack,motorcycle,1.0,No,Metropolitian,41
21.0,Windy,Jam,Meal,motorcycle,1.0,No,Urban,15
25.0,Sandstorms,Jam,Snack,motorcycle,2.0,No,Metropolitian,36
31.0,Sandstorms,Low,Meal,electric_scooter,0.0,No,Metropolitian,26
37.0,Sandstorms,Low,Snack,motorcycle,1.0,No,Metropolitian,20
33.0,Windy,Jam,Meal,scooter,1.0,No,Metropolitian,39
25.0,Cloudy,High,Buffet,motorcycle,1.0,No,Metropolitian,34
29.0,Sunny,Medium,Meal,electric_scooter,1.0,No,Metropolitian,15
27.0,Stormy,Jam,Snack,motorcycle,0.0,No,Urban,18
35.0,Cloudy,Low,Drinks,scooter,0.0,No,Metropolitian,38
32.0,Windy,Jam,Buffet,motorcycle,1.0,No,Metropolitian,47
23.0,Windy,Low,Buffet,electric_scooter,0.0,No,Urban,12
31.0,Sandstorms,Low,Drinks,motorcycle,1.0,No,Metropolitian,26
36.0,Stormy,Low,Drinks,motorcycle,1.0,No,Urban,22
26.0,Sandstorms,Low,Buffet,motorcycle,0.0,No,Urban,21
38.0,Cloudy,High,Drinks,scooter,1.0,No,Urban,25
32.0,Stormy,Jam,Snack,scooter,0.0,No,Urban,35
32.0,Cloudy,Low,Drinks,scooter,1.0,No,Metropolitian,30
33.0,Sunny,Medium,Snack,motorcycle,1.0,No,Metropolitian,22
20.0,Windy,High,Snack,scooter,0.0,No,Urban,10
20.0,Sandstorms,Low,Meal,scooter,1.0,No,Metropolitian,19
35.0,Sunny,Low,Snack,scooter,1.0,No,Urban,11
26.0,Stormy,Low,Buffet,scooter,0.0,No,Metropolitian,11
22.0,Fog,Low,Snack,motorcycle,1.0,No,Metropolitian,28
35.0,Cloudy,Medium,Snack,motorcycle,1.0,No,Metropolitian,33
29.0,Cloudy,Medium,Drinks,scooter,1.0,No,Metropolitian,33
37.0,Sandstorms,Jam,Snack,motorcycle,3.0,No,Metropolitian,52
28.0,Stormy,Jam,Snack,scooter,1.0,No,Metropolitian,22
37.0,Fog,Low,Snack,scooter,1.0,No,Urban,16
23.0,Sunny,Jam,Drinks,electric_scooter,0.0,No,Metropolitian,11
27.0,Windy,Medium,Drinks,scooter,1.0,No,Metropolitian,25
